,trip_id,crows_flight_distance,abs_sum_angles,net_sum_angles,mean_angular_motion,median_angular_motion,total_distance,mean_distance,median_distance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.5,955.047397,465.381611,14.286248,0.621337,0.785398,4698.328637,6.272802,4.604346
2,1.75,772.261368,116.699113,13.625808,0.480243,0.160375,1362.648514,5.607607,5.456189
3,1.195,14782.679655,1020.829885,526.554056,1.096488,1.244395,18030.043102,19.366319,19.872594
4,1.125,5904.996065,339.143751,136.577136,0.555973,0.451011,6932.086388,11.364076,11.527563
5,1.158,658.566838,240.33399,6.432279,0.42537,0.128323,1202.494581,2.128309,0.223607
6,1.193,958.016143,287.147702,-111.353098,0.719668,0.588003,1925.200832,4.825065,4.504442
7,1.112,475.510767,180.932067,-9.284611,0.474887,0.588003,1253.289218,3.289473,0.223607
8,1.191,714.118758,123.495997,-62.114417,0.436382,0.122461,1171.227683,4.138614,1.220656
9,1.52,739.867894,299.231206,-148.192155,0.438755,0.35613,2373.353295,3.47999,0.141421
10,1.92,1154.431137,476.882751,-198.347008,0.683213,0.664175,1903.429119,2.726976,0.2
11,1.46,910.440465,240.125064,-57.532238,0.813983,0.938047,1899.531907,6.439091,6.525335
12,1.178,942.513374,201.296231,63.839014,0.593794,0.661043,1896.611405,5.594724,5.660389
13,1.132,23.721088,751.505677,-193.789009,0.691358,0.776389,8866.111087,8.156496,8.134494
14,1.42,280.882698,92.512846,43.775438,0.534756,0.369906,650.21255,3.758454,3.17805
15,1.54,1188.319898,166.738825,56.271244,0.483301,0.265043,2135.165864,6.188887,6.694027
16,1.84,1365.300073,328.569637,22.503575,0.356366,0.0,2361.816148,2.561623,0.1
17,1.119,4888.175171,721.741979,-209.036684,0.861267,1.031199,9152.957997,10.922384,9.464143
18,1.198,1013.406754,229.621044,159.752489,0.667503,0.474597,1770.122733,5.145706,4.922887
19,1.152,908.91164,194.073557,91.322277,0.776294,0.749075,1639.172112,6.556688,6.383408
20,1.88,942.16662,128.413938,29.405943,0.553508,0.471237,1764.171529,7.604188,7.509322
21,1.106,4.110961,159.621468,19.972722,0.141258,0.0,110.67911,0.097946,0.0
22,1.81,1014.571003,123.339264,44.012042,0.543345,0.545362,1135.28022,5.001234,4.393177
23,1.25,506.580191,108.226317,43.354966,0.510501,0.628213,1146.363771,5.407376,4.119794
24,1.139,968.530898,115.400416,-28.89578,0.465324,0.216767,1834.189242,7.395924,8.273327
25,1.23,507.08236,223.924388,64.30485,0.616872,0.753151,2119.24247,5.838134,5.663921
26,1.172,419.300572,276.81554,-15.962595,0.458304,0.0,1543.323979,2.555172,0.2
27,1.126,5503.687768,707.692609,-248.630132,0.843495,0.928982,8937.781873,10.652899,9.613532
28,1.43,1144.936435,208.254028,-98.907726,0.762835,0.785398,1649.046698,6.040464,5.440588
29,1.14,731.831046,227.858912,-99.507683,0.490019,0.387184,1341.424058,2.884783,0.141421
30,1.29,1455.98455,236.271763,44.84912,0.680898,0.701723,2230.161778,6.426979,6.239391
31,1.49,9933.765424,522.615279,93.15534,0.431557,0.258771,13529.26891,11.171981,8.2
